cd_nom,num_version_init,num_version_final,champ,valeur_init,valeur_final,type_change,cd_nom_remplacement,cd_raison_suppression
741255,10.0,11.0,CD_REF,741255,886107,MODIFICATION,,
731173,10.0,11.0,CD_REF,731173,833774,MODIFICATION,,
52017,10.0,11.0,CD_REF,52017,854090,MODIFICATION,,
47399,10.0,11.0,CD_REF,47399,857447,MODIFICATION,,
561844,10.0,11.0,CD_REF,426015,67058,MODIFICATION,,
45506,10.0,11.0,CD_REF,45505,857214,MODIFICATION,,
762769,10.0,11.0,CD_REF,731508,846120,MODIFICATION,,
814377,10.0,11.0,CD_REF,814377,245310,MODIFICATION,,
640393,10.0,11.0,CD_NOM,640393,,RETRAIT,,
46126,10.0,11.0,CD_REF,46126,866326,MODIFICATION,,
445886,10.0,11.0,CD_REF,445886,445887,MODIFICATION,,
75630,10.0,11.0,CD_REF,75630,655464,MODIFICATION,,
798475,10.0,11.0,LB_NOM,Clivina aeneus,Clivina aenea,MODIFICATION,,
242047,10.0,11.0,CD_REF,792956,242047,MODIFICATION,,
447107,10.0,11.0,CD_REF,447107,636548,MODIFICATION,,
762600,10.0,11.0,CD_REF,731523,763101,MODIFICATION,,
632049,10.0,11.0,CD_REF,629222,633845,MODIFICATION,,
689895,10.0,11.0,CD_REF,596577,851462,MODIFICATION,,
48351,10.0,11.0,CD_REF,48351,48368,MODIFICATION,,
821356,10.0,11.0,CD_REF,821356,532918,MODIFICATION,,
763099,10.0,11.0,CD_REF,731507,763090,MODIFICATION,,
716165,10.0,11.0,CD_REF,716167,716165,MODIFICATION,,
350729,10.0,11.0,CD_REF,350729,840128,MODIFICATION,,
412410,10.0,11.0,CD_REF,162715,199899,MODIFICATION,,
645221,10.0,11.0,CD_REF,645221,775763,MODIFICATION,,
642579,10.0,11.0,CD_REF,642579,337313,MODIFICATION,,
48000,10.0,11.0,CD_REF,47997,47998,MODIFICATION,,
731896,10.0,11.0,CD_REF,731896,853320,MODIFICATION,,
762931,10.0,11.0,CD_REF,731417,834709,MODIFICATION,,
239593,10.0,11.0,CD_REF,239593,239594,MODIFICATION,,
526311,10.0,11.0,CD_REF,526312,847309,MODIFICATION,,
834484,10.0,11.0,CD_REF,834482,833854,MODIFICATION,,
629838,10.0,11.0,CD_REF,731808,859799,MODIFICATION,,
47675,10.0,11.0,CD_REF,47675,47677,MODIFICATION,,
768245,10.0,11.0,CD_REF,734239,768242,MODIFICATION,,
801890,10.0,11.0,LB_NOM,Coninomus bifasciata,Coninomus bifasciatus,MODIFICATION,,
837267,10.0,11.0,LB_NOM,Cimex fuliginosa,Cimex fuliginosus,MODIFICATION,,
671587,10.0,11.0,CD_REF,671587,106252,MODIFICATION,,
763262,10.0,11.0,CD_REF,731656,763268,MODIFICATION,,
798308,10.0,11.0,CD_REF,235386,235387,MODIFICATION,,
555511,10.0,11.0,CD_REF,426026,69010,MODIFICATION,,
631853,10.0,11.0,CD_REF,447571,844023,MODIFICATION,,
800862,10.0,11.0,LB_NOM,Scarabaeus dubia,Scarabaeus dubius,MODIFICATION,,
46474,10.0,11.0,CD_REF,46474,870945,MODIFICATION,,
734621,10.0,11.0,CD_REF,734621,847403,MODIFICATION,,
765142,10.0,11.0,CD_REF,732725,765142,MODIFICATION,,
798666,10.0,11.0,LB_NOM,Cicindela quadrimaculatum,Cicindela quadrimaculata,MODIFICATION,,
647804,10.0,11.0,CD_REF,647804,647482,MODIFICATION,,
704788,10.0,11.0,CD_REF,704788,849998,MODIFICATION,,
777193,10.0,11.0,CD_REF,777193,754483,MODIFICATION,,
689807,10.0,11.0,CD_REF,669324,44231,MODIFICATION,,
779625,10.0,11.0,CD_REF,732550,779625,MODIFICATION,,
563120,10.0,11.0,CD_REF,67574,849375,MODIFICATION,,
571693,10.0,11.0,CD_REF,72974,571693,MODIFICATION,,
455044,10.0,11.0,LB_NOM,Vincentia,Cladium subg. Vincentia,MODIFICATION,,
734658,10.0,11.0,CD_REF,734658,883752,MODIFICATION,,
48350,10.0,11.0,CD_REF,48348,48350,MODIFICATION,,
412366,10.0,11.0,CD_REF,785577,162697,MODIFICATION,,
741228,10.0,11.0,CD_REF,741228,732456,MODIFICATION,,
524159,10.0,11.0,CD_NOM,524159,,RETRAIT,,
242731,10.0,11.0,CD_REF,242731,884512,MODIFICATION,,
565779,10.0,11.0,CD_REF,426026,69010,MODIFICATION,,
47065,10.0,11.0,CD_REF,47065,867791,MODIFICATION,,
632537,10.0,11.0,CD_REF,629354,637313,MODIFICATION,,
146000,10.0,11.0,CD_REF,146000,94252,MODIFICATION,,
828964,10.0,11.0,CD_REF,828963,828964,MODIFICATION,,
47149,10.0,11.0,LB_NOM,Calycellina menziesii,Calycella menziesii,MODIFICATION,,
791577,10.0,11.0,CD_REF,219821,53902,MODIFICATION,,
47124,10.0,11.0,CD_REF,47124,47125,MODIFICATION,,
766031,10.0,11.0,CD_REF,733164,766028,MODIFICATION,,
763806,10.0,11.0,CD_REF,731896,853320,MODIFICATION,,
642055,10.0,11.0,CD_REF,642055,720131,MODIFICATION,,
813042,10.0,11.0,CD_REF,813042,10517,MODIFICATION,,
560082,10.0,11.0,CD_REF,426053,68790,MODIFICATION,,
413006,10.0,11.0,LB_NOM,Vertgo nana,Vertigo nana,MODIFICATION,,
48934,10.0,11.0,CD_REF,48933,854408,MODIFICATION,,
404529,10.0,11.0,CD_REF,307040,12083,MODIFICATION,,
811546,10.0,11.0,CD_REF,249063,774047,MODIFICATION,,
674704,10.0,11.0,CD_NOM,674704,,RETRAIT,,
48149,10.0,11.0,CD_REF,48147,48149,MODIFICATION,,
768757,10.0,11.0,CD_REF,734506,886786,MODIFICATION,,
636119,10.0,11.0,CD_REF,630526,853233,MODIFICATION,,
735417,10.0,11.0,CD_REF,735417,733056,MODIFICATION,,
447266,10.0,11.0,CD_REF,447266,766666,MODIFICATION,,
161984,10.0,11.0,CD_REF,161984,109498,MODIFICATION,,
264,10.0,11.0,CD_REF,264,774678,MODIFICATION,,
426055,10.0,11.0,CD_REF,426055,549487,MODIFICATION,,
741165,10.0,11.0,CD_REF,741165,731683,MODIFICATION,,
765574,10.0,11.0,CD_REF,732976,847391,MODIFICATION,,
731526,10.0,11.0,CD_REF,731526,833843,MODIFICATION,,
555503,10.0,11.0,CD_REF,426026,69010,MODIFICATION,,
163290,10.0,11.0,CD_REF,163290,885685,MODIFICATION,,
60432,10.0,11.0,LB_NOM,Myotis aedilis,Myotis aedilus,MODIFICATION,,
711114,10.0,11.0,CD_REF,711114,848842,MODIFICATION,,
66722,10.0,11.0,CD_REF,66722,66670,MODIFICATION,,
49151,10.0,11.0,CD_REF,49151,49153,MODIFICATION,,
388211,10.0,11.0,LB_NOM,Giraudia sphacelarioides,Giraudya sphacelarioides,MODIFICATION,,
632683,10.0,11.0,CD_REF,629078,848319,MODIFICATION,,
708336,10.0,11.0,CD_REF,706392,851605,MODIFICATION,,
636391,10.0,11.0,CD_REF,630948,849274,MODIFICATION,,
637853,10.0,11.0,CD_REF,631051,853341,MODIFICATION,,
765168,10.0,11.0,CD_REF,732706,886097,MODIFICATION,,
46446,10.0,11.0,LB_NOM,Coprotus aurorus,Coprotus aurora,MODIFICATION,,
565281,10.0,11.0,CD_REF,426015,67058,MODIFICATION,,
48349,10.0,11.0,CD_REF,48348,48350,MODIFICATION,,
48479,10.0,11.0,CD_REF,48476,48479,MODIFICATION,,
456935,10.0,11.0,CD_REF,456935,456674,MODIFICATION,,
741619,10.0,11.0,CD_REF,741619,734965,MODIFICATION,,
730989,10.0,11.0,CD_REF,730989,850006,MODIFICATION,,
395675,10.0,11.0,LB_NOM,Feronia spadiceus,Feronia spadicea,MODIFICATION,,
5901,10.0,11.0,CD_REF,5901,846822,MODIFICATION,,
733702,10.0,11.0,CD_REF,733702,767125,MODIFICATION,,
811494,10.0,11.0,CD_REF,249058,840949,MODIFICATION,,
633152,10.0,11.0,CD_REF,629568,731870,MODIFICATION,,
243638,10.0,11.0,CD_REF,243638,330503,MODIFICATION,,
544982,10.0,11.0,CD_REF,545162,74677,MODIFICATION,,
393482,10.0,11.0,LB_NOM,Aphodius globosa,Aphodius globosus,MODIFICATION,,
454770,10.0,11.0,CD_REF,448079,846146,MODIFICATION,,
635088,10.0,11.0,CD_REF,447265,851853,MODIFICATION,,
763389,10.0,11.0,CD_REF,731719,851534,MODIFICATION,,
645226,10.0,11.0,CD_REF,645226,775772,MODIFICATION,,
219791,10.0,11.0,CD_REF,54080,631131,MODIFICATION,,
49054,10.0,11.0,CD_REF,49053,855690,MODIFICATION,,
635735,10.0,11.0,CD_REF,630949,849274,MODIFICATION,,
763021,10.0,11.0,CD_REF,731480,845499,MODIFICATION,,
440640,10.0,11.0,CD_NOM,440640,,RETRAIT,,
47869,10.0,11.0,CD_REF,47867,856711,MODIFICATION,,
47854,10.0,11.0,CD_REF,47853,47854,MODIFICATION,,
568009,10.0,11.0,CD_REF,64426,853681,MODIFICATION,,
49965,10.0,11.0,CD_REF,49965,856967,MODIFICATION,,
833798,10.0,11.0,CD_REF,833798,845916,MODIFICATION,,
48888,10.0,11.0,CD_REF,48889,861240,MODIFICATION,,
183811,10.0,11.0,CD_REF,183811,183809,MODIFICATION,,
432631,10.0,11.0,CD_REF,432631,848533,MODIFICATION,,
3768,10.0,11.0,CD_REF,3768,534743,MODIFICATION,,
813793,10.0,11.0,CD_REF,813790,850776,MODIFICATION,,
73569,10.0,11.0,CD_REF,73569,648709,MODIFICATION,,
645064,10.0,11.0,CD_REF,645064,775970,MODIFICATION,,
701798,10.0,11.0,LB_NOM,Correlophus bepelensis,Correlophus belepensis,MODIFICATION,,
769110,10.0,11.0,CD_REF,734699,839021,MODIFICATION,,
716115,10.0,11.0,CD_REF,716116,716115,MODIFICATION,,
111817,10.0,11.0,CD_REF,86189,121461,MODIFICATION,,
456751,10.0,11.0,LB_NOM,Aneita hirudo,Aneitea hirudo,MODIFICATION,,
595663,10.0,11.0,CD_REF,595663,850759,MODIFICATION,,
413201,10.0,11.0,CD_REF,163083,851135,MODIFICATION,,
816906,10.0,11.0,CD_REF,78071,816906,MODIFICATION,,
242643,10.0,11.0,LB_NOM,Asynonychus godmani,Asynonychus godmanni,MODIFICATION,,
516599,10.0,11.0,LB_NOM,Peniophora tremellloides,Peniophora tremelloides,MODIFICATION,,
48780,10.0,11.0,CD_REF,48779,862667,MODIFICATION,,
708624,10.0,11.0,CD_REF,630140,848272,MODIFICATION,,
596577,10.0,11.0,CD_REF,596577,851462,MODIFICATION,,
60129,10.0,11.0,LB_NOM,Sorex foediens,Sorex fodiens,MODIFICATION,,
406186,10.0,11.0,CD_REF,236513,849791,MODIFICATION,,
762988,10.0,11.0,CD_REF,731437,846099,MODIFICATION,,
114537,10.0,11.0,CD_REF,114542,847197,MODIFICATION,,
819731,10.0,11.0,CD_REF,819731,813891,MODIFICATION,,
586629,10.0,11.0,CD_REF,824590,852127,MODIFICATION,,
49298,10.0,11.0,CD_REF,49297,49299,MODIFICATION,,
790926,10.0,11.0,CD_REF,249070,840933,MODIFICATION,,
767272,10.0,11.0,CD_REF,733734,767202,MODIFICATION,,
762850,10.0,11.0,CD_REF,731382,762850,MODIFICATION,,
635866,10.0,11.0,CD_REF,630446,843868,MODIFICATION,,
637463,10.0,11.0,LB_NOM,Clerodendron spicatum,Clerodendrum spicatum,MODIFICATION,,
454678,10.0,11.0,CD_REF,671886,846409,MODIFICATION,,
49626,10.0,11.0,LB_NOM,Ramsbottomia crec'hqueraultii,Ramsbottomia crechqueraultii,MODIFICATION,,
769945,10.0,11.0,CD_REF,735211,769940,MODIFICATION,,
700891,10.0,11.0,CD_REF,671886,846409,MODIFICATION,,
732705,10.0,11.0,CD_REF,732705,886095,MODIFICATION,,
17277,10.0,11.0,CD_REF,792956,242047,MODIFICATION,,
677240,10.0,11.0,CD_REF,596917,677223,MODIFICATION,,
657590,10.0,11.0,CD_REF,657590,886249,MODIFICATION,,
646549,10.0,11.0,CD_REF,646549,852655,MODIFICATION,,
732064,10.0,11.0,CD_REF,732064,779301,MODIFICATION,,
45994,10.0,11.0,LB_NOM,Unguiculella faginea,Unguiculella fagina,MODIFICATION,,
762800,10.0,11.0,CD_REF,731511,763094,MODIFICATION,,
73162,10.0,11.0,CD_REF,73162,842639,MODIFICATION,,
716552,10.0,11.0,CD_NOM,716552,,RETRAIT,,
763972,10.0,11.0,CD_REF,735384,763972,MODIFICATION,,
45701,10.0,11.0,LB_NOM,Ascozonus leveillanus,Ascozonus leveilleanus,MODIFICATION,,
768933,10.0,11.0,LB_NOM,Piper sagoti,Piper sagotii,MODIFICATION,,
768933,10.0,11.0,CD_REF,741550,768933,MODIFICATION,,
392266,10.0,11.0,CD_REF,54085,631133,MODIFICATION,,
705908,10.0,11.0,LB_NOM,Asplenium sulcatum,Asplenium ×sulcatum,MODIFICATION,,
635676,10.0,11.0,CD_REF,447847,853308,MODIFICATION,,
47125,10.0,11.0,CD_REF,47124,47125,MODIFICATION,,
588171,10.0,11.0,CD_REF,45364,588166,MODIFICATION,,
47935,10.0,11.0,CD_REF,47935,855811,MODIFICATION,,
48208,10.0,11.0,LB_NOM,Lachnea poiraulti,Lachnea poiraultii,MODIFICATION,,
765437,10.0,11.0,CD_REF,740575,852738,MODIFICATION,,
807366,10.0,11.0,CD_REF,807366,851412,MODIFICATION,,
637353,10.0,11.0,CD_REF,629020,637353,MODIFICATION,,
731062,10.0,11.0,CD_REF,731062,844510,MODIFICATION,,
247081,10.0,11.0,CD_REF,247081,848356,MODIFICATION,,
764069,10.0,11.0,CD_REF,732044,764129,MODIFICATION,,
801288,10.0,11.0,LB_NOM,Cantharis biguttatus,Cantharis biguttata,MODIFICATION,,
395735,10.0,11.0,LB_NOM,Feronia sinuatopunctatus,Feronia sinuatopunctata,MODIFICATION,,
734638,10.0,11.0,CD_REF,734638,847108,MODIFICATION,,
411377,10.0,11.0,LB_NOM,Staphylinus glabra,Staphylinus glabratus,MODIFICATION,,
731513,10.0,11.0,CD_REF,731513,763081,MODIFICATION,,
50132,10.0,11.0,CD_REF,50131,861377,MODIFICATION,,
65236,10.0,11.0,CD_REF,65236,65234,MODIFICATION,,
802814,10.0,11.0,LB_NOM,Teinodactyla ordinatus,Teinodactyla ordinata,MODIFICATION,,
766959,10.0,11.0,CD_REF,629149,845181,MODIFICATION,,
632681,10.0,11.0,CD_REF,630141,848273,MODIFICATION,,
402220,10.0,11.0,CD_REF,232736,232735,MODIFICATION,,
573587,10.0,11.0,LB_NOM,Modiola villlosa,Modiola villosa,MODIFICATION,,
799433,10.0,11.0,LB_NOM,Anisotoma badia,Anisotoma badium,MODIFICATION,,
766066,10.0,11.0,CD_REF,733177,733179,MODIFICATION,,
632141,10.0,11.0,CD_REF,629261,852979,MODIFICATION,,
46227,10.0,11.0,CD_REF,46227,46224,MODIFICATION,,
741199,10.0,11.0,CD_REF,741199,732046,MODIFICATION,,
432764,10.0,11.0,CD_REF,432764,186416,MODIFICATION,,
618883,10.0,11.0,CD_REF,86189,121461,MODIFICATION,,
765616,10.0,11.0,CD_REF,732932,741276,MODIFICATION,,
559618,10.0,11.0,CD_REF,426054,364189,MODIFICATION,,
798915,10.0,11.0,LB_NOM,Lebia unifasciatus,Lebia unifasciata,MODIFICATION,,
731397,10.0,11.0,CD_REF,731397,845578,MODIFICATION,,
707960,10.0,11.0,LB_NOM,Phaedranthus buccinatorium,Phaedranthus buccinatorius,MODIFICATION,,
707960,10.0,11.0,CD_REF,706200,843871,MODIFICATION,,
695656,10.0,11.0,CD_REF,595663,850759,MODIFICATION,,
714908,10.0,11.0,CD_REF,714908,885908,MODIFICATION,,
646399,10.0,11.0,CD_NOM,646399,,RETRAIT,,
448179,10.0,11.0,CD_REF,448179,765435,MODIFICATION,,
49429,10.0,11.0,CD_REF,49429,49153,MODIFICATION,,
415576,10.0,11.0,LB_NOM,Aethes kuhlweiniana,Tortrix kuhlweiniana,MODIFICATION,,
770028,10.0,11.0,CD_REF,104929,851943,MODIFICATION,,
764389,10.0,11.0,CD_REF,732314,883710,MODIFICATION,,
447030,10.0,11.0,CD_REF,447030,452703,MODIFICATION,,
610408,10.0,11.0,CD_REF,54501,716526,MODIFICATION,,
48019,10.0,11.0,CD_REF,48019,860288,MODIFICATION,,
199887,10.0,11.0,CD_REF,199887,885674,MODIFICATION,,
801945,10.0,11.0,LB_NOM,Dermestes stercorea,Dermestes stercoreus,MODIFICATION,,
802805,10.0,11.0,LB_NOM,Teinodactyla nanus,Teinodactyla nana,MODIFICATION,,
696750,10.0,11.0,CD_REF,803829,243859,MODIFICATION,,
640856,10.0,11.0,CD_REF,640856,774187,MODIFICATION,,
555482,10.0,11.0,CD_REF,426026,69010,MODIFICATION,,
447774,10.0,11.0,CD_REF,447774,631319,MODIFICATION,,
770113,10.0,11.0,CD_REF,735265,851182,MODIFICATION,,
671531,10.0,11.0,CD_REF,830151,884062,MODIFICATION,,
690711,10.0,11.0,CD_REF,595979,850785,MODIFICATION,,
711116,10.0,11.0,CD_REF,711116,848842,MODIFICATION,,
631131,10.0,11.0,CD_REF,54080,631131,MODIFICATION,,
433889,10.0,11.0,LB_NOM,Fissidens,Fissidens subg. Fissidens,MODIFICATION,,
189818,10.0,11.0,CD_REF,189818,191270,MODIFICATION,,
730698,10.0,11.0,CD_REF,730698,452652,MODIFICATION,,
766390,10.0,11.0,CD_REF,733360,839183,MODIFICATION,,
713695,10.0,11.0,CD_REF,219821,53902,MODIFICATION,,
635712,10.0,11.0,LB_NOM,Phyllodes luteum,Phyllodes lutea,MODIFICATION,,
453905,10.0,11.0,CD_REF,447782,851559,MODIFICATION,,
41761,10.0,11.0,CD_REF,41760,857205,MODIFICATION,,
804362,10.0,11.0,CD_REF,804362,854400,MODIFICATION,,
49991,10.0,11.0,CD_REF,49991,857344,MODIFICATION,,
413005,10.0,11.0,LB_NOM,Vertgo hamata,Vertigo hamata,MODIFICATION,,
74647,10.0,11.0,CD_REF,74647,528865,MODIFICATION,,
563126,10.0,11.0,CD_REF,67574,849375,MODIFICATION,,
635675,10.0,11.0,CD_REF,629227,853309,MODIFICATION,,
45649,10.0,11.0,CD_REF,45649,45610,MODIFICATION,,
803603,10.0,11.0,LB_NOM,Peritelus necessaria,Peritelus necessarius,MODIFICATION,,
4522,10.0,11.0,CD_REF,4520,4522,MODIFICATION,,
215996,10.0,11.0,CD_REF,215996,884524,MODIFICATION,,
730809,10.0,11.0,CD_REF,730809,452817,MODIFICATION,,
48499,10.0,11.0,CD_REF,48499,855234,MODIFICATION,,
46648,10.0,11.0,CD_REF,46648,861536,MODIFICATION,,
629566,10.0,11.0,CD_REF,629566,633154,MODIFICATION,,
453382,10.0,11.0,CD_REF,447450,455699,MODIFICATION,,
800849,10.0,11.0,LB_NOM,Scarabaeus holosericea,Scarabaeus holosericeus,MODIFICATION,,
706392,10.0,11.0,CD_REF,706392,851605,MODIFICATION,,
242909,10.0,11.0,CD_REF,242909,242907,MODIFICATION,,
675982,10.0,11.0,LB_NOM,Echinus mammillatus,Echinus mamillatus,MODIFICATION,,
45973,10.0,11.0,CD_REF,45971,45973,MODIFICATION,,
662235,10.0,11.0,CD_REF,658536,45273,MODIFICATION,,
799610,10.0,11.0,LB_NOM,Dermestes semicoleoptratum,Dermestes semicoleopteratum,MODIFICATION,,
731897,10.0,11.0,CD_REF,731897,853325,MODIFICATION,,
802409,10.0,11.0,LB_NOM,Clytus cinerea,Clytus cinereus,MODIFICATION,,
836354,10.0,11.0,LB_NOM,Cimex testudinaria,Cimex testudinarius,MODIFICATION,,
49035,10.0,11.0,CD_REF,49034,866384,MODIFICATION,,
74644,10.0,11.0,CD_REF,74644,810208,MODIFICATION,,
766058,10.0,11.0,CD_REF,733171,741301,MODIFICATION,,
765499,10.0,11.0,CD_REF,732913,847312,MODIFICATION,,
114957,10.0,11.0,CD_REF,611647,124956,MODIFICATION,,
713962,10.0,11.0,CD_REF,54087,631135,MODIFICATION,,
731779,10.0,11.0,CD_REF,731779,865440,MODIFICATION,,
631223,10.0,11.0,CD_REF,636514,844041,MODIFICATION,,
46572,10.0,11.0,CD_REF,46572,859858,MODIFICATION,,
395137,10.0,11.0,CD_REF,273977,222286,MODIFICATION,,
709345,10.0,11.0,CD_REF,706865,845603,MODIFICATION,,
765907,10.0,11.0,CD_REF,629078,765906,MODIFICATION,,
733745,10.0,11.0,CD_REF,733745,844249,MODIFICATION,,
762621,10.0,11.0,CD_REF,731259,845669,MODIFICATION,,
627988,10.0,11.0,CD_REF,627988,844037,MODIFICATION,,
555526,10.0,11.0,CD_REF,426026,69010,MODIFICATION,,
