##########################
#   Consultation         #
##########################
child(ren);linked child(ren)
Password does not match confirmation;Password does not match confirmation
Old password is not correct;Old password is not correct
Role Code;Role Code
Role Label;Role Label
Role Definition;Role Definition
Permissions;Permissions
Schemas Permissions;Schemas Permissions
Datasets Restrictions;Dataset Restrictions
The provider does not exist.;The provider does not exist.
The provider map parameters do not exist.;The provider map parameters do not exist.
The provider has been deleted.;The provider has been deleted.
The role does not exist.;The role does not exist.
The role has been deleted.;The role has been deleted.
The user does not exist.;The user does not exist.
The user has been deleted.;The user has been deleted.
The user password information has been saved.;The user password information has been saved.
The provider information has been saved.;The provider information has been saved.
The role information has been saved.;The role information has been saved.
The user information has been saved.;The user information has been saved.

# User Rights
Manage users;Manage users
Provide data;Provide data
Visualise data;Visualise data
Visualise data from other provider;Visualise data from other provider
Launch the harmonization process;Launch the harmonization process
Export the raw data as a CSV file;Export the raw data as a CSV file
Add / Update / Delete data;Add / Update / Delete data
Add / Update / Delete data from another provider;Add / Update / Delete data from another provider
Check the configuration;Check the configuration
Cancel validated submission;Cancel validated submission
Cancel other provider submission;Cancel other provider submission

# Schemas
Harmonized Data;Harmonized Data
Raw Data;Raw Data

##########################
#  Data Edition          #
##########################
No %value% found.;No %value% found.
Form not submitted;Form not submitted
Invalid form;Invalid form
Data saved;Data saved - Reloading
Item cannot be deleted because it has children;Item cannot be deleted because it has children
Error while deleting data;Error while deleting data
Error inserting data duplicate key;Error while inserting data - The data already exists
Data deleted;Data deleted


##########################
#  Data Query            #
##########################
Data Export;Data Export
Request Criterias;Request Criterias
Invalid request.;Invalid request.
That request's label already exists. Please indicate another one.;That request's label already exists. Please indicate another one.
An unexpected error occurred.;An unexpected error occurred.

################################
#  Fil d'ariane (Breadcrumb)   #
################################
Breadcrumb_Home;Home
Breadcrumb_Integration;Data integration
Breadcrumb_Integration_New;Create data submission
Breadcrumb_Visualization;Visualize data
Breadcrumb_Harmonization;Harmonize data
Breadcrumb_Edition;Data edition
Breadcrumb_Edit_Data;Edit observation
Breadcrumb_Add_Data;Add observation
Breadcrumb_User;My account
Breadcrumb_Check_Configuration;Check the configuration
Breadcrumb_Users_Administration;Users Administration
Breadcrumb_Users;Users
Breadcrumb_Edit_User;Edit user
Breadcrumb_Change_Password;Change password
Breadcrumb_Roles;Roles
Breadcrumb_Edit_Role;Edit role
Breadcrumb_Providers;Providers
Breadcrumb_Providers_Details;Details and data
Breadcrumb_Edit_Provider;Edit provider
