##########################
#   Consultation         #
##########################
child(ren);enfant(s) rattaché(s)
Luhn algorithm (mod-10 checksum) failed on '%value%';L'algorithme Luhn (somme de contrôle mod-10) a échoué pour '%value%'
Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected;La hauteur maximale de l'image '%value%' devrait être '%maxheight%' mais '%height%' a été détectée
Maximum allowed size for file '%value%' is '%max%' but '%size%' detected;La taille maximale requise pour le fichier '%value%' est de '%max%' mais '%size%' a été détecté
Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected;La largeur maximale de l'image '%value%' devrait être '%maxwidth%' mais '%width%' a été détectée
Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected;La hauteur minimale de l'image '%value%' devrait être '%minheight%' mais '%height%' a été détectée
Minimum expected size for file '%value%' is '%min%' but '%size%' detected;La taille minimale requise pour le fichier '%value%' est de '%min%' mais '%size%' a été détecté
Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected;La largeur minimale de l'image '%value%' devrait être '%minwidth%' mais '%width%' a été détectée
No record matching '%value%' was found;Aucun enregistrement trouvé pour '%value%'
No temporary directory was found for file '%value%';Pas de dossier temporaire trouvé pour le fichier '%value%'
No token was provided to match against;Aucun jeton de correspondance n'a été donné
One or more files can not be read;Un ou plusieurs fichiers n'est pas lisible
The mimetype of file '%value%' could not be detected;Le type MIME du fichier '%value%' n'a pu être détecté
The size of image '%value%' could not be detected;La taille de l'image '%value%' n'a pas pu être détectée
The two given tokens do not match;Les deux jetons passés ne correspondent pas
There was an internal error while using the pattern '%pattern%';Il y a eu une erreur interne lors de l'utilisation du motif '%pattern%'
Too few files, minimum '%min%' are expected but '%count%' are given;Trop peu de fichiers : un minimum de '%min%' est autorisé mais '%count%' ont été fournis
Too less words, minimum '%min%' are expected but '%count%' were counted;Trop peu de mots, un minimum de '%min%' est requis, '%count%' ont été fournis
Too many files, maximum '%max%' are allowed but '%count%' are given;Trop de fichiers : un maximum de'%max%' est autorisé mais '%count%' ont été fournis
Too much words, maximum '%max%' are allowed but '%count%' were counted;Trop de mots, un maximum de '%max%' est requis, '%count%' ont été fournis
Unknown country within the IBAN '%value%';Pays inconnu pour l'IBAN '%value%'
Unknown error while uploading file '%value%';Erreur inconnue lors de l'envoi du fichier '%value%'
Value is required and can't be empty;Cette valeur est obligatoire et ne peut être vide
notMatch;Le mot de passe n'est pas confirmé
userExist;Cet utilisateur existe déjà
### User friendly ###
# userNotExist;Cet utilisateur n'existe pas
# Incorrect password;Mot de passe incorrect
### Security ###
userNotExist;Utilisateur ou mot de passe incorrect
Incorrect password;Utilisateur ou mot de passe incorrect

### Help blocks ###
Password.constraints;Le mot de passe doit contenir au moins 8 caractères, une majuscule, une minuscule, un chiffre et un caractère spécial.

##########################
#   Layout               #
##########################
Log out;Déconnexion
Log in;Connexion
Change login;Changement d'utilisateur
Contact Us;Contact
Layout Head Title;Application OGAM
Layout Head Meta Keywords;eforest, efdac, jrc, forêt
Layout Head Meta Description;Centre de donnée sur les forêts européennes
Layout Copyright;Copyright © IGN 2015. Reproduction autorisée à condition que la source soit mentionnée.
Layout Pathway Home;Accueil
Translate this site fr;Traduire ce site en français
Translate this site en;Traduire ce site en anglais

##########################
#	Error				 #
##########################
Please login;Veuillez vous authentifier
An error occurred;Une erreur est survenue
Page not found;Ressource introuvable
Database Error;Accès refusé sur la base de données
Application error;Un problème a été rencontré. Merci de signaler cet incident ainsi que les actions qui y ont mené afin qu'il puisse être corrigé.


﻿##########################
#   Index                #
##########################
Select a menu;Selectionnez un menu
Welcome;Bienvenue sur le site web OGAM !
Data Integration;Intégration de données
Data Edition;Edition des données
Visualize Raw Data;Visualisation des données brutes
Query Data (RAW_DATA);Visualisation des données brutes
Query Data (HARMONIZED_DATA);Visualisation des données validées
Add a new localisation;Ajout d'une nouvelle localisation
Data Harmonization;Recopie des données
Visualize Harmonized Data;Visualisation des données validées
Query Harmonized Data;Visualisation des données validées
User Administration;Administration des utilisateurs
Check Configuration;Vérification de la configuration
Manage Users;Administration des utilisateurs


﻿##########################
#   User login           #
##########################
User Module;Module utilisateur
Authentication;Authentification
Username;Identifiant
Password;Mot de passe
Password_forgotten;Mot de passe oublié ?
Password_change_request;Demande de modification de mot de passe
Password_change_request_msg;Vous avez demandé à réinitialiser le mot de passe associé à l'adresse email: <b>%email%</b>.<br/>Si cette adresse est bien associée à un compte utilisateur, vous allez recevoir un courriel vous indiquant la marche à suivre. Merci de vérifier votre boite de réception. Vous devrez accéder à la page indiquée dans le courriel, afin de saisir votre nouveau mot de passe.<br/><b>Note:</b> Le courriel est envoyé de façon automatique, pensez à vérifier votre courrier indésirable si vous ne le recevez pas rapidement.


﻿##########################
#  Data integration      #
##########################
Submissions;Soumissions
Add data;Ajout d'observations
Choose a table:;Choisissez une table :
Data integration module;Module d'intégration de données
Submit Data;Soumettre des données
Submission ID;Id de soumission
Date;Date
Provider Id;Id fournisseur
User;Utilisateur
Dataset;Lot de donnée
Step;Etape
Status;Statut
File;Fichier
Lines;Lignes
Actions;Actions
Create data submission;Nouvelle soumission
Upload Data;Chargement des données
Check data;Vérifier les données
Show report;Afficher le rapport
Validate data;Valider la soumission
Cancel Submission;Annuler la soumission
Confirm submission;Confirmer la soumission
Invalidate submission;Invalider la soumission
Confirm_submission_warning;Une fois validées, les données seront disponibles pour la suite des traitements. Voulez-vous confirmer ?
Confirm_invalidation_warning;Une fois invalidées, les données ne seront plus disponibles pour la suite des traitements. Voulez-vous confirmer ?
Submit;Valider
Error;Erreur
The expected fields are:;Les champs attendus sont:
Are you sure?;Etes-vous sûr ?
No submission found;Aucune soumission trouvée.
Download a file model for;Télécharger un modèle de fichier pour
File format description;Description des formats de fichiers
Spatial reference system (SRID);Système de référence (SRID)
sridDescription;Sous la forme d'un code EPSG. Par exemple :	<ul><li>WGS 84 : 4326</li><li>Lambert-93 : 2154</li></ul>Voir le <a href='http://www.epsg-registry.org/' target='_blank'>registre des codes EPSG</a>.

﻿##########################
#  Jeu de données        #
##########################

Jdd.delete.impossible;Le jeu de données ne peut pas être supprimé (soumissions liées).
Jdd.delete.success:Le jeu de données a bien été supprimé.

﻿##########################
#  Data Copy             #
##########################
Data harmonization module;Recopie des données
Harmonize Data;Recopier les données
Back;Retour
Launch Harmonization;Lancer la copie
Remove Harmonization Data;Supprimer les données recopiées
Validate the submission;Valider la soumission
The submission has not been validated;La soumission n'a pas été validée
Harmonization Date;Date de recopie
Confirm harmonization;Attention, les données de ce fournisseur vont être supprimées et recréées
Confirm harmonization data deletion;Attention, les données de ce fournisseur vont être supprimées

##########################
#  Check configuration   #
##########################
Check result;Résultat de la vérification
PHP Parameters;Paramètres PHP
Error: %value% minimum;Erreur: %value% minimum
Expected value;Valeur attendue
Database;Base de données
Checking for missing schemas:;Vérification de la présence des schemas :
The schema '%s' described in the metadata doesn't exist in the system.;Le schéma '%s' décrit dans les métadonnées n'existe pas en base.
Checking for missing tables:;Vérification de la présence des tables :
The expected table '%s' of the schema '%s' is not found.;La table obligatoire '%s' du schéma '%s' est introuvable.
The PK (%s) of the table '%s' is not compatible with the metadata PK (%s).;La clé primaire (%s) de la table '%s' n'est pas compatible avec la clé primaire des métadonnées (%s).
Checking for primary keys:;Vérification des clés primaires :
Checking for missing fields:;Vérification de la présence des champs :
Checking field types:;Vérification des types des champs :
The Expected data '%s' of the table '%s' of the schema '%s' is not found.;La donnée obligatoire '%s' de la table '%s' du schéma '%s' est manquante.
The field '%s' of the table '%s' of the schema '%s' is of type '%s' which is incompatible with the metadata definition: '%s'.;Le champ '%s' de la table '%s' du schema '%s' est de type '%s' lequel est incompatible avec la définition des métadonnées : '%s'.
Unknow field type for the data '%s' of the table '%s' of the schema '%s'.;Le type de la donnée '%s' de la table '%s' du schéma '%s' est inconnu.
Checking foreign keys:;Vérification des clés étrangères :
The foreign key between the table '%s' and the table '%s' described in the metadata doesn't exist in the system.;La clé étrangère entre la table '%s' et la table '%s' décrit dans les métadonnées n'existe pas en base.
The foreign key '%s' between the table '%s' and the table '%s' does not match the metadata definition: '%s'.;la clé étrangère '%s' entre la table '%s' et la table '%s' ne correspond pas à la définition des métadonnées : '%s'.
Note: The database user must have administration rights to perform these tests.;Note: L'utilisateur utilisé pour se connecter à la base doit être administreur pour pouvoir dérouler ces tests.

##########################
# Mapping                #
##########################
empty_layer;Aucune couche

##########################
#  User Management       #
##########################
User Management Module;Administration des utilisateurs
Show the users;Afficher les utilisateurs
Show the roles;Afficher les rôles
Show the providers;Afficher les organismes
Change Password;Changement de mot de passe
Password Change;Modification d'un mot de passe
Password Change for user:;Modification du mot de passe pour l'utilisateur :
Changing your password;Modification de votre mot de passe
Create Role;Créer un rôle
Create User;Créer un utilisateur
Create Provider;Créer un organisme
Add Provider;Créer un organisme
Edit Role;Edition d'un rôle
Edit Role forbidden;Edition du rôle Grand Public (Les modifications ne sont pas permises)
Edit User;Edition d'un utilisateur
Edit Provider;Edition d'un organisme
View related users and content;Voir les données et les utilisateurs
Users and content for provider:;Utilisateurs et données pour l'organisme:
This provider doesn't have any users.;Cet organisme n'a pas d'utilisateurs
Datas;Données
Nb of datas;Nombre de lignes de données
This provider doesn't have any raw datas.;Cet organisme n'a pas de données en base.
Impossible to delete this provider.;Il est impossible de supprimer cet organisme\n(données et/ou utilisateurs rattachés).
Impossible to delete this role.;Il est impossible de supprimer ce rôle\n(utilisateurs rattachés).
Roles;Rôles
Users;Utilisateurs
User Login;Login
User Name;Nom
Provider;Organisme
Providers;Organismes
Email;Email
Role;Rôle
Delete;Supprimer
Edit;Editer
Code;Code
Label;Libellé
Definition;Définition
Old Password;Ancien mot de passe
New Password;Nouveau mot de passe
Confirm Password;Confirmer le mot de passe
Password does not match confirmation;Le mot de passe ne correspond pas
Old password is not correct;L'ancien mot de passe n'est pas correct
Role Code;Code du rôle
Role Label;Libellé du rôle
Role Definition;Définition du rôle
Permissions;Permissions
Schemas Permissions;Permissions sur les schémas de base de données
Datasets Restrictions;Restrictions sur les datasets
Layer Restrictions;Restrictions sur les couches carto
The provider does not exist.;L'organisme n'existe pas.
The provider map parameters do not exist.;L'organisme n'a pas d'emprise par défaut.
The provider has been deleted.;L'organisme a été supprimé.
The role does not exist.;Le rôle n'existe pas.
The role has been deleted.;Le rôle a été supprimé.
The user does not exist.;L'utilisateur n'existe pas.
The user has been deleted.;L'utilisateur a été supprimé.
The user password information has been saved.;Le mot de passe a bien été enregistré.
The provider information has been saved.;L'organisme a bien été enregistré.
The role information has been saved.;Le rôle a bien été enregistré.
The user information has been saved.;L'utilisateur a bien été enregistré.

# User Rights
Manage users;Administrer les utilisateurs
Provide data;Intégrer des données
Visualise data;Visualiser les données de son fournisseur
Visualise data from other provider;Visualiser les données d'un autre fournisseur
Launch the harmonization process;Valider les données de son fournisseur
Export the raw data as a CSV file;Exporter les données brutes en CSV
Add / Update / Delete data;Editer les données de son fournisseur
Add / Update / Delete data from another provider;Editer les données d'un autre fournisseur
Check the configuration;Vérifier la configuration du système
Cancel validated submission;Annuler une soumission validée par son fournisseur
Cancel other provider submission;Annuler la soumission d'un autre fournisseur

# Schemas
Harmonized Data;Données validées
Raw Data;Données brutes

##########################
#  Data Edition          #
##########################
No %value% found.;Aucun(e) %value% trouvé(e).
Form not submitted;Formulaire non soumis
Invalid form;Invalid form
Data saved;Données sauvegardées - Rechargement
Item cannot be deleted because it has children;La donnée ne peut pas être effacée car d'autres données sont liées
Error while deleting data;Erreur lors de la suppression
Data deleted;Donnée supprimée
Error inserting data duplicate key;Erreur lors de l'insertion - la donnée existe déjà


##########################
#  Data Query            #
##########################
Data Export;Export des données
Request Criterias;Critères de requête
Invalid request.;Requête invalide.
That request's label already exists. Please indicate another one.;Ce libellé de requête est déjà utilisé. Veuillez en choisir un autre.
An unexpected error occurred.;Une erreur inattendue est apparue.

################################
#  Fil d'ariane (Breadcrumb)   #
################################
Breadcrumb_Home;Accueil
Breadcrumb_Integration;Intégrer des données
Breadcrumb_Integration_New;Nouvelle soumission
Breadcrumb_Visualization;Visualiser les données
Breadcrumb_Harmonization;Harmoniser les données
Breadcrumb_Edition;Editer les données
Breadcrumb_Edit_Data;Editer une observation
Breadcrumb_Add_Data;Ajouter une observation
Breadcrumb_User;Mon compte
Breadcrumb_Check_Configuration;Vérifier la configuration technique
Breadcrumb_Users_Administration;Administrer les utilisateurs
Breadcrumb_Users;Utilisateurs
Breadcrumb_Edit_User;Modifier
Breadcrumb_Change_Password;Mot de passe
Breadcrumb_Roles;Roles
Breadcrumb_Edit_Role;Modifier
Breadcrumb_Providers;Organismes
Breadcrumb_Providers_Details;Détails et données
Breadcrumb_Edit_Provider;Modifier
